	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
1181	23	1.0	1.0	1	4.0	2.0	2.0	3.0
1206	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1209	23	3.0	1.0	2	2.0	4.0	2.0	3.0
1217	23	3.0	1.0	1	2.0	4.0	4.0	5.0
1219	23	3.0	1.0	3	4.0	4.0	2.0	4.0
1223	23	1.0	1.0	1	2.0	2.0	4.0	4.0
1224	23	1.0	1.0	1	2.0	2.0	4.0	2.0
1229	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1230	23	1.0	1.0	2	4.0	2.0	2.0	4.0
1235	23	1.0	1.0	1	4.0	4.0	2.0	4.0
1236	23	1.0	1.0	2	2.0	4.0	2.0	5.0
1237	23	1.0	1.0	2	2.0	4.0	2.0	4.0
1238	23	1.0	1.0	2	2.0	4.0	4.0	5.0
1241	23	3.0	1.0	1	2.0	4.0	4.0	4.0
1242	23	3.0	1.0	1	2.0	4.0	4.0	5.0
1243	23	1.0	1.0	2	2.0	4.0	2.0	4.0
1244	23	1.0	1.0	1	2.0	4.0	4.0	4.0
1248	23	1.0	1.0	1	4.0	4.0	2.0	6.0
1250	23	1.0	3.0	1	2.0	4.0	4.0	6.0
1254	23	1.0	1.0	0	4.0	4.0	2.0	5.0
1256	23	3.0	1.0	1	2.0	4.0	2.0	2.0
1260	23	1.0	3.0	1	4.0	4.0	2.0	3.0
1261	23	1.0	1.0	2	2.0	4.0	2.0	5.0
1262	23	3.0	1.0	3	2.0	4.0	2.0	3.0
1264	23	1.0	1.0	4	4.0	4.0	2.0	7.0
1266	23	1.0	3.0	1	4.0	4.0	2.0	3.0
1267	23	1.0	1.0	1	4.0	4.0	2.0	6.0
1269	23	3.0	1.0	1	4.0	4.0	2.0	6.0
1272	23	3.0	3.0	1	4.0	4.0	2.0	5.0
1274	23	3.0	1.0	1	4.0	4.0	2.0	4.0
1276	23	3.0	1.0	1	2.0	4.0	2.0	4.0
1277	23	1.0	1.0	1	2.0	4.0	2.0	4.0
1278	23	3.0	3.0	0	2.0	4.0	4.0	1.0
1282	23	3.0	1.0	1	2.0	4.0	4.0	7.0
1283	23	3.0	1.0	0	2.0	4.0	4.0	2.0
1286	23	3.0	3.0	1	2.0	4.0	4.0	1.0
1287	23	1.0	1.0	3	2.0	4.0	4.0	4.0
1288	23	3.0	1.0	1	2.0	4.0	2.0	2.0
1289	23	3.0	1.0	1	2.0	4.0	4.0	3.0
1290	23	3.0	1.0	2	2.0	4.0	4.0	4.0
1292	23	3.0	3.0	0	2.0	4.0	4.0	3.0
